Type,Function,Digit,Time(ns)
u32toa_sequential,acf,1,6.040000
u32toa_sequential,acf,2,5.710000
u32toa_sequential,acf,3,8.600000
u32toa_sequential,acf,4,8.320000
u32toa_sequential,acf,5,13.850000
u32toa_sequential,acf,6,13.850000
u32toa_sequential,acf,7,13.850000
u32toa_sequential,acf,8,13.800000
u32toa_sequential,acf,9,15.390000
u32toa_sequential,acf,10,15.380000
u32toa_random,acf,0,15.885000
u32toa_sequential,amartin,1,4.520000
u32toa_sequential,amartin,2,4.520000
u32toa_sequential,amartin,3,6.730000
u32toa_sequential,amartin,4,6.610000
u32toa_sequential,amartin,5,9.130000
u32toa_sequential,amartin,6,9.210000
u32toa_sequential,amartin,7,11.310000
u32toa_sequential,amartin,8,11.310000
u32toa_sequential,amartin,9,11.460000
u32toa_sequential,amartin,10,11.360000
u32toa_random,amartin,0,14.504000
u32toa_sequential,branchlut,1,6.310000
u32toa_sequential,branchlut,2,7.830000
u32toa_sequential,branchlut,3,8.270000
u32toa_sequential,branchlut,4,7.740000
u32toa_sequential,branchlut,5,12.670000
u32toa_sequential,branchlut,6,13.890000
u32toa_sequential,branchlut,7,14.870000
u32toa_sequential,branchlut,8,14.080000
u32toa_sequential,branchlut,9,14.420000
u32toa_sequential,branchlut,10,16.370000
u32toa_random,branchlut,0,21.675000
u32toa_sequential,branchlut2,1,5.110000
u32toa_sequential,branchlut2,2,6.150000
u32toa_sequential,branchlut2,3,9.200000
u32toa_sequential,branchlut2,4,10.510000
u32toa_sequential,branchlut2,5,11.990000
u32toa_sequential,branchlut2,6,14.040000
u32toa_sequential,branchlut2,7,16.350000
u32toa_sequential,branchlut2,8,17.500000
u32toa_sequential,branchlut2,9,17.450000
u32toa_sequential,branchlut2,10,17.690000
u32toa_random,branchlut2,0,21.099000
u32toa_sequential,count,1,6.410000
u32toa_sequential,count,2,7.900000
u32toa_sequential,count,3,10.170000
u32toa_sequential,count,4,12.420000
u32toa_sequential,count,5,14.510000
u32toa_sequential,count,6,17.060000
u32toa_sequential,count,7,19.480000
u32toa_sequential,count,8,21.390000
u32toa_sequential,count,9,23.680000
u32toa_sequential,count,10,26.290000
u32toa_random,count,0,23.047000
u32toa_sequential,countlut,1,4.630000
u32toa_sequential,countlut,2,5.640000
u32toa_sequential,countlut,3,7.410000
u32toa_sequential,countlut,4,8.000000
u32toa_sequential,countlut,5,10.400000
u32toa_sequential,countlut,6,10.800000
u32toa_sequential,countlut,7,13.010000
u32toa_sequential,countlut,8,13.550000
u32toa_sequential,countlut,9,15.480000
u32toa_sequential,countlut,10,16.340000
u32toa_random,countlut,0,19.369000
u32toa_sequential,jeaiii,1,2.950000
u32toa_sequential,jeaiii,2,3.030000
u32toa_sequential,jeaiii,3,5.260000
u32toa_sequential,jeaiii,4,5.160000
u32toa_sequential,jeaiii,5,7.040000
u32toa_sequential,jeaiii,6,6.930000
u32toa_sequential,jeaiii,7,8.640000
u32toa_sequential,jeaiii,8,8.600000
u32toa_sequential,jeaiii,9,9.050000
u32toa_sequential,jeaiii,10,9.750000
u32toa_random,jeaiii,0,15.868000
u32toa_sequential,lut,1,7.410000
u32toa_sequential,lut,2,8.630000
u32toa_sequential,lut,3,12.680000
u32toa_sequential,lut,4,13.550000
u32toa_sequential,lut,5,15.930000
u32toa_sequential,lut,6,17.980000
u32toa_sequential,lut,7,21.900000
u32toa_sequential,lut,8,23.050000
u32toa_sequential,lut,9,26.280000
u32toa_sequential,lut,10,28.070000
u32toa_random,lut,0,25.876000
u32toa_sequential,mwilson,1,5.670000
u32toa_sequential,mwilson,2,9.780000
u32toa_sequential,mwilson,3,13.060000
u32toa_sequential,mwilson,4,16.490000
u32toa_sequential,mwilson,5,19.830000
u32toa_sequential,mwilson,6,23.550000
u32toa_sequential,mwilson,7,26.460000
u32toa_sequential,mwilson,8,29.190000
u32toa_sequential,mwilson,9,33.260000
u32toa_sequential,mwilson,10,37.090000
u32toa_random,mwilson,0,28.175000
u32toa_sequential,naive,1,7.980000
u32toa_sequential,naive,2,11.360000
u32toa_sequential,naive,3,14.940000
u32toa_sequential,naive,4,17.820000
u32toa_sequential,naive,5,20.800000
u32toa_sequential,naive,6,24.760000
u32toa_sequential,naive,7,27.750000
u32toa_sequential,naive,8,31.500000
u32toa_sequential,naive,9,34.520000
u32toa_sequential,naive,10,37.510000
u32toa_random,naive,0,29.545000
u32toa_sequential,null,1,2.510000
u32toa_sequential,null,2,2.510000
u32toa_sequential,null,3,2.490000
u32toa_sequential,null,4,2.450000
u32toa_sequential,null,5,2.510000
u32toa_sequential,null,6,2.510000
u32toa_sequential,null,7,2.510000
u32toa_sequential,null,8,2.450000
u32toa_sequential,null,9,2.450000
u32toa_sequential,null,10,2.510000
u32toa_random,null,0,2.515000
u32toa_sequential,sprintf,1,133.850000
u32toa_sequential,sprintf,2,139.080000
u32toa_sequential,sprintf,3,143.360000
u32toa_sequential,sprintf,4,147.230000
u32toa_sequential,sprintf,5,149.020000
u32toa_sequential,sprintf,6,153.230000
u32toa_sequential,sprintf,7,153.760000
u32toa_sequential,sprintf,8,157.520000
u32toa_sequential,sprintf,9,162.720000
u32toa_sequential,sprintf,10,167.230000
u32toa_random,sprintf,0,160.081000
u32toa_sequential,sse2,1,5.050000
u32toa_sequential,sse2,2,6.290000
u32toa_sequential,sse2,3,7.010000
u32toa_sequential,sse2,4,5.670000
u32toa_sequential,sse2,5,10.730000
u32toa_sequential,sse2,6,12.580000
u32toa_sequential,sse2,7,12.180000
u32toa_sequential,sse2,8,11.610000
u32toa_sequential,sse2,9,8.760000
u32toa_sequential,sse2,10,9.810000
u32toa_random,sse2,0,17.493000
u32toa_sequential,tmueller,1,2.950000
u32toa_sequential,tmueller,2,7.180000
