Type,Function,Digit,Time(ns)
u32toa_sequential,amartin,1,4.823849
u32toa_sequential,amartin,2,5.192338
u32toa_sequential,amartin,3,6.677458
u32toa_sequential,amartin,4,6.677458
u32toa_sequential,amartin,5,6.688624
u32toa_sequential,amartin,6,6.677458
u32toa_sequential,amartin,7,8.285407
u32toa_sequential,amartin,8,8.218410
u32toa_sequential,amartin,9,10.328844
u32toa_sequential,amartin,10,10.407008
u32toa_random,amartin,0,14.345368
u32toa_sequential,branchlut,1,4.823849
u32toa_sequential,branchlut,2,5.192338
u32toa_sequential,branchlut,3,5.940481
u32toa_sequential,branchlut,4,5.147672
u32toa_sequential,branchlut,5,10.094351
u32toa_sequential,branchlut,6,10.686166
u32toa_sequential,branchlut,7,11.009989
u32toa_sequential,branchlut,8,11.121652
u32toa_sequential,branchlut,9,14.304053
u32toa_sequential,branchlut,10,14.248221
u32toa_random,branchlut,0,16.684711
u32toa_sequential,branchlut2,1,5.940481
u32toa_sequential,branchlut2,2,6.677458
u32toa_sequential,branchlut2,3,5.571992
u32toa_sequential,branchlut2,4,7.057113
u32toa_sequential,branchlut2,5,6.364801
u32toa_sequential,branchlut2,6,6.308969
u32toa_sequential,branchlut2,7,8.129079
u32toa_sequential,branchlut2,8,8.285407
u32toa_sequential,branchlut2,9,10.909492
u32toa_sequential,branchlut2,10,10.786663
u32toa_random,branchlut2,0,16.236942
u32toa_sequential,naive,1,4.946679
u32toa_sequential,naive,2,7.481433
u32toa_sequential,naive,3,10.507505
u32toa_sequential,naive,4,13.801568
u32toa_sequential,naive,5,17.229628
u32toa_sequential,naive,6,20.948011
u32toa_sequential,naive,7,24.677561
u32toa_sequential,naive,8,28.295448
u32toa_sequential,naive,9,31.846337
u32toa_sequential,naive,10,35.486557
u32toa_random,naive,0,30.719656
u32toa_sequential,null,1,2.222097
u32toa_sequential,null,2,2.222097
u32toa_sequential,null,3,2.222097
u32toa_sequential,null,4,2.222097
u32toa_sequential,null,5,2.222097
u32toa_sequential,null,6,2.222097
u32toa_sequential,null,7,2.222097
u32toa_sequential,null,8,2.222097
u32toa_sequential,null,9,2.222097
u32toa_sequential,null,10,2.222097
u32toa_random,null,0,2.600635
u32toa_sequential,sse2,1,4.455361
u32toa_sequential,sse2,2,4.823849
u32toa_sequential,sse2,3,5.571992
u32toa_sequential,sse2,4,5.304001
u32toa_sequential,sse2,5,10.395841
u32toa_sequential,sse2,6,11.099319
u32toa_sequential,sse2,7,11.300313
u32toa_sequential,sse2,8,11.378477
u32toa_sequential,sse2,9,9.201046
u32toa_sequential,sse2,10,9.804027
u32toa_random,sse2,0,15.782473
i32toa_sequential,amartin,1,6.308969
i32toa_sequential,amartin,2,6.677458
i32toa_sequential,amartin,3,8.173744
i32toa_sequential,amartin,4,8.173744
i32toa_sequential,amartin,5,8.173744
i32toa_sequential,amartin,6,8.173744
i32toa_sequential,amartin,7,9.279210
i32toa_sequential,amartin,8,9.279210
i32toa_sequential,amartin,9,11.132818
i32toa_sequential,amartin,10,11.166317
i32toa_random,amartin,0,18.093901
i32toa_sequential,branchlut,1,5.940481
i32toa_sequential,branchlut,2,6.308969
i32toa_sequential,branchlut,3,7.057113
i32toa_sequential,branchlut,4,5.929315
i32toa_sequential,branchlut,5,11.021155
i32toa_sequential,branchlut,6,11.679968
i32toa_sequential,branchlut,7,12.003791
i32toa_sequential,branchlut,8,12.115454
i32toa_sequential,branchlut,9,15.275522
i32toa_sequential,branchlut,10,15.309021
i32toa_random,branchlut,0,20.451110
i32toa_sequential,branchlut2,1,7.425601
