Type,Function,Digit,Time(ms)
u32toa_sequential,branchlut,1,0.587000
u32toa_sequential,branchlut,2,0.486000
u32toa_sequential,branchlut,3,0.470000
u32toa_sequential,branchlut,4,0.578000
u32toa_sequential,branchlut,5,0.810000
u32toa_sequential,branchlut,6,0.870000
u32toa_sequential,branchlut,7,0.916000
u32toa_sequential,branchlut,8,0.920000
u32toa_sequential,branchlut,9,1.052000
u32toa_sequential,branchlut,10,1.090000
u32toa_random,branchlut,0,13.697000
u32toa_sequential,null,1,0.242000
u32toa_sequential,null,2,0.226000
u32toa_sequential,null,3,0.226000
u32toa_sequential,null,4,0.226000
u32toa_sequential,null,5,0.242000
u32toa_sequential,null,6,0.226000
u32toa_sequential,null,7,0.226000
u32toa_sequential,null,8,0.226000
u32toa_sequential,null,9,0.226000
u32toa_sequential,null,10,0.226000
u32toa_random,null,0,2.263000
u32toa_sequential,sse2,1,0.587000
u32toa_sequential,sse2,2,0.553000
u32toa_sequential,sse2,3,0.518000
u32toa_sequential,sse2,4,0.537000
u32toa_sequential,sse2,5,0.809000
u32toa_sequential,sse2,6,0.774000
u32toa_sequential,sse2,7,0.839000
u32toa_sequential,sse2,8,0.888000
u32toa_sequential,sse2,9,0.651000
u32toa_sequential,sse2,10,0.728000
u32toa_random,sse2,0,12.882000
u32toa_sequential,sprintf,1,9.852000
u32toa_sequential,sprintf,2,10.521000
u32toa_sequential,sprintf,3,11.072000
u32toa_sequential,sprintf,4,10.990000
u32toa_sequential,sprintf,5,11.185000
u32toa_sequential,sprintf,6,11.415000
u32toa_sequential,sprintf,7,11.687000
u32toa_sequential,sprintf,8,11.396000
u32toa_sequential,sprintf,9,11.395000
u32toa_sequential,sprintf,10,11.717000
u32toa_random,sprintf,0,122.049000
u32toa_sequential,lut,1,0.449000
u32toa_sequential,lut,2,0.549000
u32toa_sequential,lut,3,0.723000
u32toa_sequential,lut,4,0.892000
u32toa_sequential,lut,5,1.078000
u32toa_sequential,lut,6,1.279000
u32toa_sequential,lut,7,1.478000
u32toa_sequential,lut,8,1.620000
u32toa_sequential,lut,9,1.826000
u32toa_sequential,lut,10,1.952000
u32toa_random,lut,0,18.827000
u32toa_sequential,count,1,0.620000
u32toa_sequential,count,2,0.765000
u32toa_sequential,count,3,0.951000
u32toa_sequential,count,4,1.086000
u32toa_sequential,count,5,1.171000
u32toa_sequential,count,6,1.370000
u32toa_sequential,count,7,1.478000
u32toa_sequential,count,8,1.645000
u32toa_sequential,count,9,1.799000
u32toa_sequential,count,10,1.951000
u32toa_random,count,0,19.265000
u32toa_sequential,naive,1,0.389000
u32toa_sequential,naive,2,0.595000
u32toa_sequential,naive,3,0.835000
u32toa_sequential,naive,4,1.018000
u32toa_sequential,naive,5,1.235000
u32toa_sequential,naive,6,1.479000
u32toa_sequential,naive,7,1.678000
u32toa_sequential,naive,8,1.902000
u32toa_sequential,naive,9,2.130000
u32toa_sequential,naive,10,2.369000
u32toa_random,naive,0,20.035000
u32toa_sequential,countlut,1,0.513000
u32toa_sequential,countlut,2,0.567000
u32toa_sequential,countlut,3,0.713000
u32toa_sequential,countlut,4,0.770000
u32toa_sequential,countlut,5,0.883000
u32toa_sequential,countlut,6,0.913000
u32toa_sequential,countlut,7,1.107000
u32toa_sequential,countlut,8,1.210000
u32toa_sequential,countlut,9,1.376000
u32toa_sequential,countlut,10,1.425000
u32toa_random,countlut,0,14.896000
i32toa_sequential,branchlut,1,0.646000
i32toa_sequential,branchlut,2,0.582000
i32toa_sequential,branchlut,3,0.575000
i32toa_sequential,branchlut,4,0.631000
i32toa_sequential,branchlut,5,0.832000
i32toa_sequential,branchlut,6,0.907000
i32toa_sequential,branchlut,7,0.968000
i32toa_sequential,branchlut,8,1.058000
i32toa_sequential,branchlut,9,1.161000
i32toa_sequential,branchlut,10,1.221000
i32toa_random,branchlut,0,17.218000
i32toa_sequential,null,1,0.226000
i32toa_sequential,null,2,0.242000
i32toa_sequential,null,3,0.226000
i32toa_sequential,null,4,0.226000
i32toa_sequential,null,5,0.226000
i32toa_sequential,null,6,0.226000
i32toa_sequential,null,7,0.242000
i32toa_sequential,null,8,0.226000
i32toa_sequential,null,9,0.226000
i32toa_sequential,null,10,0.226000
i32toa_random,null,0,2.264000
i32toa_sequential,sse2,1,0.725000
i32toa_sequential,sse2,2,0.667000
i32toa_sequential,sse2,3,0.614000
i32toa_sequential,sse2,4,0.623000
i32toa_sequential,sse2,5,0.938000
i32toa_sequential,sse2,6,0.897000
i32toa_sequential,sse2,7,0.959000
i32toa_sequential,sse2,8,1.024000
i32toa_sequential,sse2,9,0.743000
i32toa_sequential,sse2,10,0.805000
i32toa_random,sse2,0,16.683000
i32toa_sequential,sprintf,1,10.759000
i32toa_sequential,sprintf,2,11.075000
i32toa_sequential,sprintf,3,11.373000
