Type,Function,Digit,Time(ms)
u32toa_sequential,null,1,0.214169
u32toa_sequential,null,2,0.217617
u32toa_sequential,null,3,0.213786
u32toa_sequential,null,4,0.214169
u32toa_sequential,null,5,0.213786
u32toa_sequential,null,6,0.213786
u32toa_sequential,null,7,0.213786
u32toa_sequential,null,8,0.213786
u32toa_sequential,null,9,0.213786
u32toa_sequential,null,10,0.213786
u32toa_random,null,0,2.143991
u32toa_sequential,branchlut,1,0.602279
u32toa_sequential,branchlut,2,0.793844
u32toa_sequential,branchlut,3,0.834456
u32toa_sequential,branchlut,4,0.839819
u32toa_sequential,branchlut,5,1.196130
u32toa_sequential,branchlut,6,1.244787
u32toa_sequential,branchlut,7,1.356661
u32toa_sequential,branchlut,8,1.481561
u32toa_sequential,branchlut,9,1.610676
u32toa_sequential,branchlut,10,1.645157
u32toa_random,branchlut,0,20.554886
u32toa_sequential,count,1,0.958973
u32toa_sequential,count,2,1.249385
u32toa_sequential,count,3,1.543245
u32toa_sequential,count,4,1.884230
u32toa_sequential,count,5,2.117172
u32toa_sequential,count,6,2.391493
u32toa_sequential,count,7,2.693016
u32toa_sequential,count,8,3.116374
u32toa_sequential,count,9,3.353148
u32toa_sequential,count,10,3.649306
u32toa_random,count,0,33.514617
u32toa_sequential,countlut,1,0.720666
u32toa_sequential,countlut,2,0.688100
u32toa_sequential,countlut,3,0.980811
u32toa_sequential,countlut,4,1.423325
u32toa_sequential,countlut,5,1.445164
u32toa_sequential,countlut,6,1.537115
u32toa_sequential,countlut,7,1.501867
u32toa_sequential,countlut,8,1.530985
u32toa_sequential,countlut,9,1.729062
u32toa_sequential,countlut,10,1.754732
u32toa_random,countlut,0,21.824960
u32toa_sequential,lut,1,0.641358
u32toa_sequential,lut,2,0.821046
u32toa_sequential,lut,3,1.036748
u32toa_sequential,lut,4,1.179272
u32toa_sequential,lut,5,1.612591
u32toa_sequential,lut,6,1.695347
u32toa_sequential,lut,7,1.915646
u32toa_sequential,lut,8,1.951661
u32toa_sequential,lut,9,2.277704
u32toa_sequential,lut,10,2.388045
u32toa_random,lut,0,30.712410
u32toa_sequential,naive,1,0.819897
u32toa_sequential,naive,2,1.147472
u32toa_sequential,naive,3,1.429455
u32toa_sequential,naive,4,1.809136
u32toa_sequential,naive,5,2.198396
u32toa_sequential,naive,6,2.502984
u32toa_sequential,naive,7,2.822130
u32toa_sequential,naive,8,3.151238
u32toa_sequential,naive,9,3.460041
u32toa_sequential,naive,10,3.796811
u32toa_random,naive,0,34.631822
u32toa_sequential,sprintf,1,12.358984
u32toa_sequential,sprintf,2,14.599141
u32toa_sequential,sprintf,3,16.867267
u32toa_sequential,sprintf,4,19.426570
u32toa_sequential,sprintf,5,21.565964
u32toa_sequential,sprintf,6,23.895390
u32toa_sequential,sprintf,7,26.988010
u32toa_sequential,sprintf,8,29.287935
u32toa_sequential,sprintf,9,31.569853
u32toa_sequential,sprintf,10,34.422251
u32toa_random,sprintf,0,253.922382
u32toa_sequential,sse2,1,0.605344
u32toa_sequential,sse2,2,0.650170
u32toa_sequential,sse2,3,0.709555
u32toa_sequential,sse2,4,0.704958
u32toa_sequential,sse2,5,1.241722
u32toa_sequential,sse2,6,1.275821
u32toa_sequential,sse2,7,1.401870
u32toa_sequential,sse2,8,1.463554
u32toa_sequential,sse2,9,1.063950
u32toa_sequential,sse2,10,1.119887
u32toa_random,sse2,0,19.825408
u32toa_sequential,vc,1,2.898756
u32toa_sequential,vc,2,4.349667
u32toa_sequential,vc,3,5.751154
u32toa_sequential,vc,4,7.373323
u32toa_sequential,vc,5,8.679028
u32toa_sequential,vc,6,11.023013
u32toa_sequential,vc,7,11.838312
