Type,Function,Digit,Time(ns)
u32toa_sequential,branchlut,1,5.344654
u32toa_sequential,branchlut,2,4.988343
u32toa_sequential,branchlut,3,4.988343
u32toa_sequential,branchlut,4,5.344654
u32toa_sequential,branchlut,5,8.926912
u32toa_sequential,branchlut,6,9.264066
u32toa_sequential,branchlut,7,9.758303
u32toa_sequential,branchlut,8,9.674014
u32toa_sequential,branchlut,9,12.934445
u32toa_sequential,branchlut,10,13.080034
u32toa_random,branchlut,0,17.769919
u32toa_sequential,count,1,6.992109
u32toa_sequential,count,2,9.808110
u32toa_sequential,count,3,12.838662
u32toa_sequential,count,4,15.555049
u32toa_sequential,count,5,18.654565
u32toa_sequential,count,6,21.317313
u32toa_sequential,count,7,24.060519
u32toa_sequential,count,8,30.539235
u32toa_sequential,count,9,31.585178
u32toa_sequential,count,10,34.171301
u32toa_random,count,0,31.770230
u32toa_sequential,countlut,1,4.727815
u32toa_sequential,countlut,2,4.988343
u32toa_sequential,countlut,3,7.482515
u32toa_sequential,countlut,4,7.861813
u32toa_sequential,countlut,5,9.827266
u32toa_sequential,countlut,6,10.574368
u32toa_sequential,countlut,7,12.505340
u32toa_sequential,countlut,8,12.516834
u32toa_sequential,countlut,9,14.325204
u32toa_sequential,countlut,10,14.451637
u32toa_random,countlut,0,19.839967
u32toa_sequential,lut,1,9.639533
u32toa_sequential,lut,2,11.666287
u32toa_sequential,lut,3,13.352056
u32toa_sequential,lut,4,15.451604
u32toa_sequential,lut,5,16.555016
u32toa_sequential,lut,6,18.612421
u32toa_sequential,lut,7,20.056818
u32toa_sequential,lut,8,21.807719
u32toa_sequential,lut,9,25.930190
u32toa_sequential,lut,10,25.026005
u32toa_random,lut,0,32.237647
u32toa_sequential,naive,1,10.704632
u32toa_sequential,naive,2,13.202635
u32toa_sequential,naive,3,17.509008
u32toa_sequential,naive,4,20.727294
u32toa_sequential,naive,5,25.612193
u32toa_sequential,naive,6,27.558489
u32toa_sequential,naive,7,31.133086
u32toa_sequential,naive,8,34.883921
u32toa_sequential,naive,9,39.320559
u32toa_sequential,naive,10,46.780086
u32toa_random,naive,0,40.104441
u32toa_sequential,null,1,2.137861
u32toa_sequential,null,2,2.137861
u32toa_sequential,null,3,2.137861
u32toa_sequential,null,4,2.137861
u32toa_sequential,null,5,2.137861
u32toa_sequential,null,6,2.137861
u32toa_sequential,null,7,2.137861
u32toa_sequential,null,8,2.137861
u32toa_sequential,null,9,3.061203
u32toa_sequential,null,10,2.137861
u32toa_random,null,0,2.142459
u32toa_sequential,sprintf,1,117.923363
u32toa_sequential,sprintf,2,131.244768
u32toa_sequential,sprintf,3,145.880307
u32toa_sequential,sprintf,4,166.684227
u32toa_sequential,sprintf,5,181.840821
u32toa_sequential,sprintf,6,200.334472
u32toa_sequential,sprintf,7,219.475611
u32toa_sequential,sprintf,8,238.264271
u32toa_sequential,sprintf,9,259.332550
u32toa_sequential,sprintf,10,281.270533
u32toa_random,sprintf,0,218.680235
u32toa_sequential,sse2,1,5.344654
u32toa_sequential,sse2,2,4.988343
u32toa_sequential,sse2,3,5.057307
u32toa_sequential,sse2,4,5.520893
u32toa_sequential,sse2,5,9.371342
u32toa_sequential,sse2,6,9.172115
u32toa_sequential,sse2,7,9.547582
u32toa_sequential,sse2,8,9.995843
u32toa_sequential,sse2,9,8.333062
u32toa_sequential,sse2,10,8.804311
u32toa_random,sse2,0,16.560380
u32toa_sequential,vc,1,13.198804
u32toa_sequential,vc,2,19.474462
u32toa_sequential,vc,3,28.221303
u32toa_sequential,vc,4,40.937364
u32toa_sequential,vc,5,53.128538
u32toa_sequential,vc,6,65.898237
u32toa_sequential,vc,7,78.242663
u32toa_sequential,vc,8,91.426141
u32toa_sequential,vc,9,105.770502
u32toa_sequential,vc,10,118.923330
u32toa_random,vc,0,82.295404
i32toa_sequential,branchlut,1,7.126205
i32toa_sequential,branchlut,2,6.413584
i32toa_sequential,branchlut,3,6.057274
i32toa_sequential,branchlut,4,6.413584
i32toa_sequential,branchlut,5,10.145263
i32toa_sequential,branchlut,6,10.225721
i32toa_sequential,branchlut,7,10.704632
i32toa_sequential,branchlut,8,10.436442
i32toa_sequential,branchlut,9,13.823305
i32toa_sequential,branchlut,10,13.616415
