Type,Function,Digit,Time(ms)
u32toa_sequential,null,1,0.158000
u32toa_sequential,null,2,0.158000
u32toa_sequential,null,3,0.158000
u32toa_sequential,null,4,0.158000
u32toa_sequential,null,5,0.158000
u32toa_sequential,null,6,0.158000
u32toa_sequential,null,7,0.159000
u32toa_sequential,null,8,0.158000
u32toa_sequential,null,9,0.158000
u32toa_sequential,null,10,0.158000
u32toa_random,null,0,1.621000
u32toa_sequential,lut,1,0.403000
u32toa_sequential,lut,2,0.501000
u32toa_sequential,lut,3,0.662000
u32toa_sequential,lut,4,0.779000
u32toa_sequential,lut,5,0.954000
u32toa_sequential,lut,6,1.043000
u32toa_sequential,lut,7,1.272000
u32toa_sequential,lut,8,1.374000
u32toa_sequential,lut,9,1.549000
u32toa_sequential,lut,10,1.610000
u32toa_random,lut,0,18.225000
u32toa_sequential,naive,1,0.500000
u32toa_sequential,naive,2,0.693000
u32toa_sequential,naive,3,0.932000
u32toa_sequential,naive,4,1.182000
u32toa_sequential,naive,5,1.415000
u32toa_sequential,naive,6,1.683000
u32toa_sequential,naive,7,1.943000
u32toa_sequential,naive,8,2.227000
u32toa_sequential,naive,9,2.496000
u32toa_sequential,naive,10,2.765000
u32toa_random,naive,0,23.971000
u32toa_sequential,sprintf,1,8.287000
u32toa_sequential,sprintf,2,8.485000
u32toa_sequential,sprintf,3,8.762000
u32toa_sequential,sprintf,4,8.999000
u32toa_sequential,sprintf,5,9.277000
u32toa_sequential,sprintf,6,9.440000
u32toa_sequential,sprintf,7,9.748000
u32toa_sequential,sprintf,8,10.227000
u32toa_sequential,sprintf,9,10.216000
u32toa_sequential,sprintf,10,10.346000
u32toa_random,sprintf,0,106.099000
u32toa_sequential,mwilson,1,0.421000
u32toa_sequential,mwilson,2,0.677000
u32toa_sequential,mwilson,3,0.886000
u32toa_sequential,mwilson,4,1.224000
u32toa_sequential,mwilson,5,1.494000
u32toa_sequential,mwilson,6,1.792000
u32toa_sequential,mwilson,7,2.057000
u32toa_sequential,mwilson,8,2.398000
u32toa_sequential,mwilson,9,2.628000
u32toa_sequential,mwilson,10,2.974000
u32toa_random,mwilson,0,24.512000
u32toa_sequential,countlut,1,0.424000
u32toa_sequential,countlut,2,0.522000
u32toa_sequential,countlut,3,0.591000
u32toa_sequential,countlut,4,0.629000
u32toa_sequential,countlut,5,0.826000
u32toa_sequential,countlut,6,0.862000
u32toa_sequential,countlut,7,1.081000
u32toa_sequential,countlut,8,1.136000
u32toa_sequential,countlut,9,1.271000
u32toa_sequential,countlut,10,1.303000
u32toa_random,countlut,0,15.404000
u32toa_sequential,branchlut,1,0.489000
u32toa_sequential,branchlut,2,0.518000
u32toa_sequential,branchlut,3,0.544000
u32toa_sequential,branchlut,4,0.593000
u32toa_sequential,branchlut,5,0.793000
u32toa_sequential,branchlut,6,0.832000
u32toa_sequential,branchlut,7,0.854000
u32toa_sequential,branchlut,8,0.871000
u32toa_sequential,branchlut,9,0.994000
u32toa_sequential,branchlut,10,0.983000
u32toa_random,branchlut,0,13.067000
u32toa_sequential,count,1,0.529000
u32toa_sequential,count,2,0.675000
u32toa_sequential,count,3,0.885000
u32toa_sequential,count,4,1.118000
u32toa_sequential,count,5,1.316000
u32toa_sequential,count,6,1.498000
u32toa_sequential,count,7,1.727000
u32toa_sequential,count,8,1.956000
u32toa_sequential,count,9,2.194000
u32toa_sequential,count,10,2.418000
u32toa_random,count,0,21.365000
u32toa_sequential,sse2,1,0.482000
u32toa_sequential,sse2,2,0.495000
u32toa_sequential,sse2,3,0.530000
u32toa_sequential,sse2,4,0.562000
u32toa_sequential,sse2,5,0.776000
u32toa_sequential,sse2,6,0.813000
u32toa_sequential,sse2,7,0.843000
u32toa_sequential,sse2,8,0.866000
u32toa_sequential,sse2,9,0.724000
u32toa_sequential,sse2,10,0.742000
u32toa_random,sse2,0,12.439000
i32toa_sequential,null,1,0.185000
i32toa_sequential,null,2,0.185000
i32toa_sequential,null,3,0.185000
i32toa_sequential,null,4,0.185000
i32toa_sequential,null,5,0.185000
i32toa_sequential,null,6,0.185000
i32toa_sequential,null,7,0.185000
i32toa_sequential,null,8,0.185000
i32toa_sequential,null,9,0.185000
i32toa_sequential,null,10,0.185000
i32toa_random,null,0,1.847000
i32toa_sequential,lut,1,0.552000
i32toa_sequential,lut,2,0.647000
i32toa_sequential,lut,3,0.823000
i32toa_sequential,lut,4,0.916000
i32toa_sequential,lut,5,1.182000
i32toa_sequential,lut,6,1.261000
